"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"geneva","860","0","0","0","130870","74992","93296","91205"
"geneva","865","0","0","0","130557","74679","93296","90980"
"geneva","870","0","0","0","130211","74333","93296","90731"
"geneva","875","0","0","0","129826","73948","93296","90456"
"geneva","880","0","0","0","129401","73523","93296","90151"
"geneva","885","0","0","0","128929","73051","93296","89816"
"geneva","890","0","0","0","128408","72530","93296","89446"
"geneva","895","0","0","0","127831","71953","93296","89038"
"geneva","900","0","184","0","127195","71317","93296","88589"
"geneva","905","54","381","0","126492","70614","93243","88095"
"geneva","910","216","869","0","125718","69840","93084","87552"
"geneva","915","486","1083","0","124865","68987","92820","86957"
"geneva","920","864","1207","0","123928","68050","92449","86305"
"geneva","925","1341","1597","179","122900","67022","91974","85592"
"geneva","930","1897","1597","179","121773","65895","91394","84812"
"geneva","935","2513","1794","304","120541","64663","90710","83963"
"geneva","940","3173","2184","487","119197","63319","89923","83038"
"geneva","945","3864","2168","600","117733","61855","89032","82034"
"geneva","950","4574","2074","626","116144","60266","88037","80946"
"geneva","955","5292","1876","512","114422","58544","86939","79771"
"geneva","960","6013","1876","536","112564","56686","85736","78504"
"geneva","965","6735","2234","568","110564","54686","84431","77143"
"geneva","970","7459","2240","568","108419","52541","83021","75686"
"geneva","975","8183","2341","385","106128","50250","81508","74130"
"geneva","980","8907","2168","315","103689","47811","79892","72475"
"geneva","985","9631","2173","299","101104","45226","78171","70721"
"geneva","990","10355","2173","299","98377","42499","76347","68870"
"geneva","995","11079","2168","351","95512","39634","74419","66925"
"geneva","1000","11804","2313","504","92517","36639","72388","64891"
"geneva","1005","12528","2225","520","89402","33524","70253","62772"
"geneva","1010","13252","2625","763","86178","30300","68014","60576"
"geneva","1015","13976","2638","843","82859","26981","65672","58311"
"geneva","1020","14700","2564","1023","79460","23582","63226","55988"
"geneva","1025","15424","2726","1182","75998","20120","60676","53617"
"geneva","1030","16149","2578","1478","72492","16614","58023","51210"
"geneva","1035","16873","2600","1784","68960","13082","55266","48780"
"geneva","1040","17597","2613","2340","65422","9544","52405","46339"
"geneva","1045","18321","2704","2177","61896","6018","49441","43901"
"geneva","1050","19045","3592","2007","58403","2525","46373","41479"
"geneva","1055","19661","3638","2025","54960","-918","43307","39086"
"geneva","1060","20062","3487","1883","51584","-4294","40349","36733"
